Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
FRED,CryptoNight,PoW,1867054873.28397,8080000000.0,0.3751290022291991,-2.3198660304079546,0.41687147912922506,0,FREDEnergy
HERB,Quark,PoW/PoS,35312185.7437239,54000000.0,-0.40023908340844055,1.6880639846181833,-0.5503367425583537,3,HerbCoin
UMO,Blake,PoW,1578281.31341127,105120001.44,-0.14315517052682372,-2.1402343322617283,0.46374954269842766,0,Universal Molecule
LIT,Blake,PoW,15846721.2482747,25228800.0,-0.14354696195467012,-2.140192035798601,0.4637525879591755,0,Lithium
PIRATE,Equihash,PoS,13475920.0,105000000.0,-0.27257749032670164,-0.061988912706800715,0.15632228940129628,3,PirateCash
EXO,Exosis,PoW,406091.925,21000000.0,-0.12292712828802488,-2.3091366143649714,0.40147164771345256,0,Exosis
BLTG,Scrypt,PoW,35284717.173946,120000000.0,-0.17125036492930337,-1.1101383542990217,-0.02633477828658664,0,Block-Logic
OWC,Scrypt,PoW/PoS,14777549.3940764,21000000.0,-0.3378219334434047,1.0230333907062692,-0.6066995254748574,3,Oduwa
BEAM,Equihash,PoW,35687520.0,262800000.0,-0.15136314477993482,-2.031403799907923,0.4324392589514786,0,Beam
GALI,Quark,PoW/PoS,18265011.2486006,19035999.0,-0.40069521733885216,1.6880711080932367,-0.5503282203800508,3,Galilel
BTH,Equihash,PoW,25150787.5,30886000.0,-0.15313546806429515,-2.031306420178499,0.43246413625173297,0,Bithereum
CSPN,Quark,PoS,1934701.67524713,13370000.0,-0.3551401963266451,1.5242836086613711,-0.24608088268469955,3,Crypto Sports
CREDIT,Scrypt,PoW/PoS,30825710000.0296,74800000000.0,0.5686947915355184,1.005036501675121,-0.6231827250841027,3,Credit
SLC,QuBit,PoW,12925790.4226959,100000000.0,-0.15764206217644133,-1.5821637421361872,0.25929019133629366,0,SLICE
DASHP,X11,PoS,715659.44237941,19700000.0,-0.34459860758881505,1.094992101526049,-0.2055262907141619,3,Dash Platinum
NSD,Scrypt,PoW/PoS,20546528.2059957,84000000.0,-0.3373049527945007,1.0230083583357614,-0.6067071806479942,3,Nasdacoin
BEET,XEVAN,PoW/PoS,198938144.363399,500000000.0,-0.3041515497478159,1.43047179306133,-0.3900691304007247,3,Beetle Coin
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000.0,-0.32574617121798954,1.9134085017126676,-0.789024748746834,3,Titan Coin
AWR,X11,PoW/PoS,15420234.5389336,420000000.0,-0.38737677792611763,1.2586043350593106,-0.5098099244312819,3,Award
BLAST,SHA-256,PoW,52293836.6277958,64000000.0,-0.14569621968762378,-1.3717720520718966,0.23229466824578637,0,BLAST
XRC,X13,PoW,1170292.5,2100000.0,-0.10323472006667175,-0.4264412041045691,-0.03164300521719511,0,Bitcoin Rhodium
GLT,SHA-256,PoW,84613099.9999955,168000000.0,-0.144564182864728,-1.3718022303883306,0.2322749947442433,0,GlobalToken
INSN,X11,PoW/PoS,23775960.3207514,30000000.0,-0.39003853486888795,1.2587808425371683,-0.5097761378523861,3,Insane Coin
ALX,DPoS,DPoS,1000000000.0,1000000000.0,3.742837593206235,1.6093529383933614,0.08521835395802801,3,ALAX
LDOGE,Scrypt,PoW/PoS,15318887081.0146,35000000000.0,0.09711475714452994,1.015051095332016,-0.6146850713296426,3,LiteDoge
SLR,Scrypt,PoW,55565076.3863525,98100000000.0,0.523369108389337,-1.153446236568232,-0.035477230249774006,0,SolarCoin
TRK,X11,PoW/PoS,242574105.22384,0.0,-0.3875770156985452,1.258901076793951,-0.5098408768078239,3,TruckCoin
UFO,NeoScrypt,PoW,3824685012.0,4000000000.0,-0.09707173726277976,-1.6749507207442793,0.280776185353441,0,UFO Coin
OC,Scrypt,PoW/PoS,3537150.0,200000000.0,-0.33669076239998363,1.0229487578113765,-0.606712746846842,3,OrangeCoin
BLC,Blake,PoW,23356790.1494191,7000000000.0,-0.09402587183745892,-2.1432719702059146,0.46309990394816913,0,BlakeCoin
BITS,Scrypt,PoW/PoS,20576532.0,54256119.0,-0.3375153771358599,1.0230215230293016,-0.6067044164268192,3,BitstarCoin
NEOS,SHA-256,PoS,4392258.24647793,21000000.0,-0.26641097236342537,0.5975795211664192,-0.043825076171923064,3,NeosCoin
HYPER,Scrypt,PoW/PoS,9631199.99309942,0.0,-0.3380336558114854,1.0230401589221523,-0.6066959787985642,3,HyperCoin
PINK,X11,PoW/PoS,436353624.490312,500000000.0,-0.3816652296718947,1.2587747618370784,-0.50994731337981,3,PinkCoin
CESC,Scrypt,PoW,780210700.0,1000000000.0,-0.15590952045105444,-1.1101632135273487,-0.02664677025859512,0,Crypto Escudo
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000.0,-0.25175282484962064,1.0188727930128754,-0.6079748057157662,3,AudioCoin
NKA,SHA-256,PoW/PoS,17939725045.334,190000000.0,-0.09180451716373005,0.7700554576001358,-0.35361869403632656,3,IncaKoin
PIGGY,X11,PoW/PoS,494240666.028571,1000000000.0,-0.37741430558950073,1.2585820086834338,-0.5100118040850279,3,Piggy Coin
CRW,SHA-256,PoW,22986929.0854247,42000000.0,-0.1462103164380075,-1.371776653909111,0.23230576579560208,0,Crown Coin
GEN,Scrypt,PoW/PoS,60000000.0,15000000.0,-0.3373117511747875,1.0230581527350406,-0.6067129247944031,3,Genstake
SMLY,Scrypt,PoW,29583989322.9213,50000000000.0,0.5433835610647839,-1.1177442886994775,-0.04010664744238691,0,SmileyCoin
MI,Scrypt,PoW/PoS,404316475.545465,400000000.0,-0.3303751102540746,1.0230562781849752,-0.6068551043073331,3,XiaoMiCoin
GRS,Groestl,PoW,73298203.8873662,105000000.0,-0.20616430153096013,-1.2054141956215767,0.0976888248704875,0,Groestlcoin
CPC,X11,PoW/PoS,201364327.427503,208000000.0,-0.38660660763170757,1.258788970641149,-0.509847551664856,3,CapriCoin
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000.0,-0.3357510134360946,1.0230153738450658,-0.6067399101327271,3, ClubCoin
RADS,PoS,PoS,3821245.74150193,9000000.0,-0.3225291731422704,1.5919303751332232,-0.10810875676955448,3,Radium
BTA,Scrypt,PoW,5052555.91981545,5000000.0,-0.17243484901431297,-1.1101022923985284,-0.02631472330959704,0,Bata
